id,brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price
287,Ford,Explorer XLT,2013,98000,E85 Flex Fuel,290.0HP 3.5L V6 Cylinder Engine Flex Fuel Capability,6-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,15995
288,Lexus,GX 470 Base,2008,151544,Gasoline,263.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,White,Gray,At least 1 accident or damage reported,Yes,12468
289,Mercedes-Benz,GLE 350 GLE 350,2021,2284,Hybrid,2.0 Liter,Automatic,designo Diamond White Bright,Black,None reported,,47598
290,Lexus,ES 350 Base,2017,70000,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Beige,None reported,Yes,22500
291,Genesis,GV70 3.5T Sport,2022,3534,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,6-Speed Automatic,Phantom Black Pearl Effect / Black Roof,Beige,None reported,Yes,38698
292,Lamborghini,Gallardo LP550-2,2013,7000,Gasoline,550.0HP 5.2L 10 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Black,None reported,Yes,140000
293,Subaru,Forester 2.5i Limited,2014,120000,Gasoline,170.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,20000
294,Mercedes-Benz,AMG G 63 Base,2020,28755,Gasoline,577.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,96850
295,Ford,F-150 XLT,2019,29500,Gasoline,325.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,Black,None reported,Yes,33000
296,Mercedes-Benz,S-Class S 550 4MATIC,2020,44300,Gasoline,449.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Beige,None reported,Yes,489000
297,Subaru,WRX Limited,2019,62662,Gasoline,268.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,White,White,At least 1 accident or damage reported,Yes,26999
298,Land,Rover Defender S,2018,76000,Gasoline,296.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,21800
299,Kia,Telluride SX,2023,2950,Gasoline,291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Red,Black,None reported,Yes,54500
300,Lexus,RC F Base,2015,51400,Gasoline,467.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Black,At least 1 accident or damage reported,Yes,49900
301,BMW,128 i,2013,73000,Gasoline,230.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,At least 1 accident or damage reported,Yes,16000
302,Ford,Transit Connect XL,2017,66770,E85 Flex Fuel,169.0HP 2.5L 4 Cylinder Engine Flex Fuel Capability,A/T,White,Black,None reported,Yes,20000
303,INFINITI,Q50 Hybrid Sport,2021,67000,Hybrid,354.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,7-Speed A/T,Black,Black,None reported,Yes,31450
304,Dodge,Grand Caravan SE,2018,44000,E85 Flex Fuel,283.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,6-Speed A/T,White,Black,None reported,Yes,30999
305,Mercedes-Benz,CLS-Class CLS 550,2007,149000,Gasoline,382.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,3850
306,Toyota,Tacoma PreRunner,2008,100000,Gasoline,236.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Gray,At least 1 accident or damage reported,Yes,6000
307,Chevrolet,Camaro 2SS,2018,76200,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,19980
308,Toyota,Avalon XLE,2015,90000,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Gray,At least 1 accident or damage reported,Yes,7500
309,Ford,Transit-350 Base,2019,53000,Gasoline,310.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Gray,At least 1 accident or damage reported,Yes,42900
310,BMW,M8 Base,2023,4348,Gasoline,4.4L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic,Black,Black,None reported,,87500
311,Land,Rover Range Rover Velar P380 S,2019,66000,Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,51500
312,Nissan,Armada SL,2018,56678,Gasoline,5.6 Liter,Automatic,White,Black,None reported,,32769
313,Mercedes-Benz,AMG E 63 S 4MATIC,2017,9500,Gasoline,603.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Brown,At least 1 accident or damage reported,Yes,30000
314,Chrysler,Town & Country Touring-L,2012,130000,E85 Flex Fuel,283.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Blue,Gray,At least 1 accident or damage reported,Yes,7500
315,Audi,A6 3.0T Prestige,2013,79000,Gasoline,310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Brown,At least 1 accident or damage reported,Yes,175000
316,Chevrolet,Corvette Stingray w/2LT,2023,14206,Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,At least 1 accident or damage reported,Yes,32500
317,Lexus,GX 460 Base,2020,48210,Gasoline,4.6L V8 32V MPFI DOHC,6-Speed Automatic,Nebula Gray Pearl,Rioja Red,At least 1 accident or damage reported,Yes,25215
318,Lexus,ES 350 Base,2016,67726,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,17200
319,Lexus,LS 460 L,2013,110450,Gasoline,386.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Beige,None reported,Yes,58900
320,Chevrolet,Equinox LT,2012,96653,Gasoline,264.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,8500
321,Lexus,GX 460 Premium,2022,82000,Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,At least 1 accident or damage reported,Yes,30919
322,Cadillac,SRX Luxury Collection,2010,152000,Gasoline,292.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Red,Beige,None reported,Yes,42950
323,Ford,F-150 Raptor,2021,51300,Gasoline,450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,Black,None reported,Yes,62450
324,Land,Rover LR4 HSE,2013,63250,Gasoline,375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Gray,At least 1 accident or damage reported,Yes,25500
325,Lexus,IS 250 Base,2008,121886,Gasoline,204.0HP 2.5L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,–,At least 1 accident or damage reported,Yes,38490
326,Ford,Mustang GT Premium,2015,110000,Gasoline,435.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Beige,At least 1 accident or damage reported,Yes,16000
327,Land,Rover Range Rover Evoque Pure,2015,80124,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Beige,None reported,Yes,22989
328,Mercedes-Benz,AMG GLS 63 4MATIC,2022,2000,Hybrid,603.0HP 4.0L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,9-Speed A/T,Black,Black,None reported,Yes,93999
329,Land,Rover Range Rover Evoque HSE Dynamic,2017,79000,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Red,Red,None reported,Yes,38000
330,Jaguar,F-TYPE R,2018,7941,Gasoline,4.0L V8 32V MPFI DOHC Twin Turbo,9-Speed Automatic,Black Raven,Black,None reported,,33172
331,Kia,Forte GT-Line,2021,77690,Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,White,Black,None reported,Yes,13600
332,Nissan,350Z Enthusiast,2008,10001,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Purple,–,At least 1 accident or damage reported,Yes,10999
333,Mercedes-Benz,SLK-Class SLK320,2001,170000,Gasoline,215.0HP 3.2L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Black,Beige,,,6000
334,Ford,F-150 Lariat,2018,94634,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,Black,None reported,Yes,53000
335,Mazda,Mazda6 Touring,2020,22227,Gasoline,2.5L I4 16V GDI DOHC,6-Speed Automatic,Deep Crystal Blue Mica,Black,None reported,,26299
336,Ford,Mustang GT Premium,2014,110000,Gasoline,412.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,At least 1 accident or damage reported,Yes,17000
337,Chrysler,300C Base,2001,85000,Gasoline,150.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Black,Black,None reported,Yes,8995
338,BMW,M3 CS,2018,98000,Gasoline,453.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,99000
339,Honda,Civic EX,2004,190640,Gasoline,140.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,A/T,Silver,Silver,At least 1 accident or damage reported,Yes,5995
340,Mercedes-Benz,E-Class E 550,2019,16000,Gasoline,402.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Purple,Black,None reported,Yes,48000
341,RAM,1500 Laramie,2019,5779,Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,Flame Red Clearcoat,Black,None reported,,30427
342,Porsche,911 Turbo,2008,132252,Gasoline,480.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,22995
343,Jeep,Grand Cherokee Limited,2021,15895,Hybrid,3.6L V6 24V MPFI DOHC Hybrid,Automatic,Metallic,Global Black,None reported,Yes,44791
344,Dodge,Challenger SRT Hellcat,2018,29475,Gasoline,707.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Green,Green,None reported,Yes,69900
345,Hummer,H3 Base,2008,184000,Gasoline,242.0HP 3.7L 5 Cylinder Engine Gasoline Fuel,4-Speed A/T,Beige,Beige,At least 1 accident or damage reported,Yes,9995
346,BMW,328 i xDrive,2015,87000,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,17900
347,Jeep,Liberty Sport,2009,134000,Gasoline,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Brown,None reported,Yes,5500
348,Volkswagen,Eurovan MV,2001,121800,Gasoline,140.0HP 2.8L V6 Cylinder Engine Gasoline Fuel,A/T,Green,Black,None reported,Yes,2300
349,Land,Rover Defender 110 SE,2022,16500,Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Green,Black,None reported,Yes,146000
350,Mercedes-Benz,GLS 550 Base 4MATIC,2018,67482,Gasoline,449.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,9-Speed A/T,White,Beige,None reported,Yes,349950
351,BMW,750 i xDrive,2021,27000,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,61000
352,Ford,F-150 XLT,2021,2823,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Black,Medium Stone,None reported,,73500
353,RAM,2500 Longhorn,2014,83424,Diesel,350.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,6-Speed A/T,Silver,Gray,None reported,Yes,26000
354,Mercedes-Benz,AMG G 63 Base,2020,39800,Gasoline,563.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,166900
355,Audi,A7 3.0T Prestige,2016,143250,Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,White,Brown,At least 1 accident or damage reported,Yes,31000
356,Honda,Accord EX-L 2.0T,2020,28663,Gasoline,2.0L I4 16V GDI SOHC Turbo,9-Speed Automatic,Lunar Blue Metallic,Black,None reported,,39777
357,Toyota,Grand Cherokee L Laredo,2022,14676,Gasoline,3.6L V6 24V MPFI DOHC,Automatic,Bright White Clearcoat,Black,None reported,Yes,53722
358,Ford,F-250 XLT,2021,12900,Diesel,450.0HP 6.7L 8 Cylinder Engine Diesel Fuel,10-Speed A/T,Gray,Gray,None reported,Yes,69000
359,Cadillac,XT5 Base,2016,99982,Gasoline,310.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,24500
360,Ford,Bronco Sport Big Bend,2021,31681,Gasoline,1.5L I3 12V PDI DOHC Turbo,8-Speed Automatic,Rapid Red Metallic Tinted Clearcoat,Navy Pier,None reported,,33490
361,RAM,2500 SLT,2016,69600,Gasoline,410.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Gray,,,35900
362,Ford,F-150 XLT,2019,36000,Gasoline,325.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Blue,Black,None reported,Yes,36500
363,Land,Rover Range Rover Velar R-Dynamic SE,2019,75897,Gasoline,5.0L V8 32V GDI DOHC Supercharged,Automatic,Black,Black,None reported,,38598
364,Alfa,Romeo Giulia Base,2022,9880,Gasoline,2.0L I4 16V GDI SOHC Turbo,8-Speed Automatic,Caviar,Black,None reported,,29430
365,Dodge,Ram 1500 SRT-10 Quad Cab,2008,153692,Gasoline,500.0HP 8.3L 10 Cylinder Engine Gasoline Fuel,4-Speed A/T,Silver,Black,None reported,Yes,10500
366,Lexus,RX 350 F Sport Performance,2016,84421,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,None reported,Yes,24500
367,Land,Rover Range Rover 5.0L Supercharged Autobiography LWB,2016,56000,Gasoline,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Blue,None reported,Yes,34900
368,Cadillac,Escalade ESV Platinum,2022,2620,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,63500
369,Mercedes-Benz,GLS 450 Base 4MATIC,2019,28800,Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,Silver,Black,None reported,Yes,59500
370,Ford,E350 Super Duty XLT,2010,26021,E85 Flex Fuel,255.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,A/T,Silver,Gray,At least 1 accident or damage reported,Yes,6800
371,Audi,Q7 3.0T Premium Plus,2014,80800,Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Blue,Beige,None reported,Yes,12980
372,Toyota,Camry Hybrid Base,2011,116500,Hybrid,147.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,A/T,White,Black,At least 1 accident or damage reported,Yes,13715
373,Audi,A6 3.0T Prestige,2018,38000,Gasoline,310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Beige,At least 1 accident or damage reported,Yes,31000
374,Mercedes-Benz,SL-Class SL 550,2015,60000,Gasoline,429.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Beige,None reported,Yes,26000
375,Jeep,Wrangler Sahara Altitude,2017,12500,Hybrid,285.0HP 3.6L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,Gray,Silver,None reported,Yes,79999
376,Mercedes-Benz,GLC 300 GLC 300,2022,16184,Gasoline,2.0 Liter Turbo,Automatic,Black,–,None reported,,37698
377,Land,Rover Range Rover 3.0L Supercharged,2021,2492,Gasoline,5.0 Liter,Automatic,Lunar Blue Metallic,–,None reported,,39998
378,Mercedes-Benz,S-Class S 63 AMG,2012,40000,Gasoline,536.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,21500
379,Tesla,Model X 75D,2023,5338,,518.0HP Electric Motor Electric Fuel System,A/T,Gray,White,None reported,Yes,97500
380,BMW,M5 Base,2015,35000,Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Green,White,None reported,Yes,145000
381,BMW,328 i xDrive,2013,106000,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,At least 1 accident or damage reported,Yes,6399
382,Chevrolet,Silverado 1500 RST,2022,36544,Gasoline,5.3L V8 16V GDI OHV,10-Speed Automatic,Dark Ash Metallic,Dark Ash,None reported,Yes,68420
383,Mercedes-Benz,Sprinter High Roof,2015,41500,Diesel,188.0HP 3.0L V6 Cylinder Engine Diesel Fuel,A/T,Silver,Black,None reported,Yes,62000
384,Mercedes-Benz,G-Class G 550 4MATIC,2022,6758,Gasoline,416.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,77430
385,Porsche,Cayenne Base,2018,44000,Gasoline,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Gray,None reported,Yes,57000
386,Mazda,MX-5 Miata Base,2008,72348,Gasoline,140.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Blue,None reported,Yes,17200
387,Ford,F-150 Lariat,2010,107000,Gasoline,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,15000
388,Ford,Mustang GT Premium,2016,34988,Gasoline,435.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Orange,Black,None reported,Yes,30000
389,BMW,Equus Signature,2013,82000,Gasoline,429.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Red,Beige,None reported,Yes,17900
390,Toyota,Sequoia Limited,2013,143600,Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,17500
391,Tesla,Model X Base,2023,197,,557.0HP Electric Motor Electric Fuel System,1-Speed A/T,Gray,Black,None reported,,197750
392,Mercedes-Benz,AMG G 63 Base,2020,22185,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,9-Speed Automatic,Black,Black,None reported,Yes,24899
393,Jeep,Wagoneer Series III,2022,16184,Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,Velvet Red Pearlcoat,Black,None reported,Yes,85989
394,Mercedes-Benz,E-Class E 350,2007,184000,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Gold,Black,At least 1 accident or damage reported,Yes,3600
395,Ford,F-150 XLT,2018,52500,Gasoline,325.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,34000
396,BMW,750 i xDrive,2019,19813,Gasoline,523.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,–,None reported,Yes,57850
397,MINI,Cooper S Base,2008,86000,Gasoline,172.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gold,Beige,At least 1 accident or damage reported,Yes,16500
398,BMW,M4 Base,2016,27123,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Red,Beige,None reported,Yes,20950
399,BMW,M4 Competition xDrive,2020,1120,Gasoline,503.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Orange,None reported,Yes,44900
400,Chevrolet,Avalanche 1500 LS,2004,152000,Gasoline,295.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,White,Gray,At least 1 accident or damage reported,Yes,9999
401,INFINITI,Q60 3.0T Premium,2017,71097,Gasoline,300.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,29950
402,Nissan,Altima 2.5 SL,2013,116000,Gasoline,170.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,At least 1 accident or damage reported,Yes,11999
403,INFINITI,QX80 Luxe,2022,69000,Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,39777
404,Audi,A4 2.0T Premium,2012,105000,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,8500
405,Ford,Explorer Eddie Bauer,2021,12500,E85 Flex Fuel,310.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,A/T,Silver,Black,At least 1 accident or damage reported,Yes,55000
406,Mazda,MX-5 Miata Base,2001,125800,Gasoline,142.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Silver,Black,None reported,Yes,8000
407,BMW,740 i,2013,59300,Gasoline,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Red,None reported,Yes,32500
408,Hyundai,Sonata Hybrid Limited,2016,110000,Hybrid,199.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Black,Gray,At least 1 accident or damage reported,Yes,16000
409,BMW,328 i,2011,126700,Gasoline,230.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,16000
